Datum	Erstligist	Gesamt	Zweitligist	Hinspiel	Rückspiel
2009	Energie Cottbus	0:5	*1. FC Nürnberg*	0:3	0:2
2010	*1. FC Nürnberg*	3:0	FC Augsburg	1:0	2:0
2011	*Borussia Mönchengladbach*	2:1	VfL Bochum	1:0	1:1
2012	Hertha BSC	3:4	*Fortuna Düsseldorf*	1:2	2:2
2013	*TSG 1899 Hoffenheim*	5:2	1. FC Kaiserslautern	3:1	2:1
2014	*Hamburger SV*	(a) 1:1 (a)	SpVgg Greuther Fürth	0:0	1:1
2015	*Hamburger SV*	3:2	Karlsruher SC	1:1	2:1 n. V.
2016	*Eintracht Frankfurt*	2:1	1. FC Nürnberg	1:1	1:0
2017	*VfL Wolfsburg*	2:0	Eintracht Braunschweig	1:0	1:0
2018	*VfL Wolfsburg*	4:1	Holstein Kiel	3:1	1:0
2019	VfB Stuttgart	(a) 2:2 (a)	*1. FC Union Berlin*	2:2	0:0
2020	*Werder Bremen*	(a) 2:2 (a)	1. FC Heidenheim	0:0	2:2
2021	*1. FC Köln*	5:2	Holstein Kiel	0:1	5:1
2022	*Hertha BSC*	2:1	Hamburger SV	0:1	2:0
2023	*VfB Stuttgart*	6:1	Hamburger SV	3:0	3:1
