Datum	Drittligist	Gesamt	Zweitligist	Hinspiel	Rückspiel
2009	*SC Paderborn 07*	2:0	VfL Osnabrück	1:0	1:0
2010	*FC Ingolstadt 04*	3:0	Hansa Rostock	1:0	2:0
2011	*Dynamo Dresden*	4:2	VfL Osnabrück	1:1	3:1 n. V.
2012	*SSV Jahn Regensburg*	(a) 3:3 (a)	Karlsruher SC	1:1	2:2
2013	VfL Osnabrück	1:2	*Dynamo Dresden*	1:0	0:2
2014	*SV Darmstadt 98*	(a) 5:5 (a)	Arminia Bielefeld	1:3	4:2 n. V.
2015	Holstein Kiel	1:2	*TSV 1860 München*	0:0	1:2
2016	*Würzburger Kickers*	4:1	MSV Duisburg	2:0	2:1
2017	*SSV Jahn Regensburg*	3:1	TSV 1860 München	1:1	2:0
2018	Karlsruher SC	1:3	*FC Erzgebirge Aue*	0:0	1:3
2019	*SV Wehen Wiesbaden*	(a) 4:4 (a)	FC Ingolstadt 04	1:2	3:2
2020	FC Ingolstadt 04	(a) 3:3 (a)	*1. FC Nürnberg*	10:2⁠1	13:1⁠1
2021	*FC Ingolstadt 04*	4:3	VfL Osnabrück	3:0	1:3
2022	*1. FC Kaiserslautern*	2:0	Dynamo Dresden	0:0	2:0
2023	SV Wehen Wiesbaden	–:–	Arminia Bielefeld	4:0	–:–
