matchday,year_month,date,home,away,date_text
1,2020-09-01,2020-09-18,Bayern München,FC Schalke 04,"Freitag,18.09.202020:30 Uhr"
1,2020-09-01,2020-09-19,Eintracht Frankfurt,Arminia Bielefeld,"Samstag,19.09.202015:30 Uhr"
1,2020-09-01,2020-09-19,1. FC Union Berlin,FC Augsburg,"Samstag,19.09.202015:30 Uhr"
1,2020-09-01,2020-09-19,1. FC Köln,TSG Hoffenheim,"Samstag,19.09.202015:30 Uhr"
1,2020-09-01,2020-09-19,Werder Bremen,Hertha BSC,"Samstag,19.09.202015:30 Uhr"
1,2020-09-01,2020-09-19,VfB Stuttgart,SC Freiburg,"Samstag,19.09.202015:30 Uhr"
1,2020-09-01,2020-09-19,Borussia Dortmund,Borussia Mönchengladbach,"Samstag,19.09.202018:30 Uhr"
1,2020-09-01,2020-09-20,RB Leipzig,1. FSV Mainz 05,"Sonntag,20.09.202015:30 Uhr"
1,2020-09-01,2020-09-20,VfL Wolfsburg,Bayer 04 Leverkusen,"Sonntag,20.09.202018:00 Uhr"
2,2020-09-01,2020-09-25,Hertha BSC,Eintracht Frankfurt,"Freitag,25.09.202020:30 Uhr"
2,2020-09-01,2020-09-26,Borussia Mönchengladbach,1. FC Union Berlin,"Samstag,26.09.202015:30 Uhr"
2,2020-09-01,2020-09-26,Bayer 04 Leverkusen,RB Leipzig,"Samstag,26.09.202015:30 Uhr"
2,2020-09-01,2020-09-26,1. FSV Mainz 05,VfB Stuttgart,"Samstag,26.09.202015:30 Uhr"
2,2020-09-01,2020-09-26,FC Augsburg,Borussia Dortmund,"Samstag,26.09.202015:30 Uhr"
2,2020-09-01,2020-09-26,Arminia Bielefeld,1. FC Köln,"Samstag,26.09.202015:30 Uhr"
2,2020-09-01,2020-09-26,FC Schalke 04,Werder Bremen,"Samstag,26.09.202018:30 Uhr"
2,2020-09-01,2020-09-27,TSG Hoffenheim,Bayern München,"Sonntag,27.09.202015:30 Uhr"
2,2020-09-01,2020-09-27,SC Freiburg,VfL Wolfsburg,"Sonntag,27.09.202018:00 Uhr"
3,2020-10-01,2020-10-02,1. FC Union Berlin,1. FSV Mainz 05,"Freitag,02.10.202020:30 Uhr"
3,2020-10-01,2020-10-03,Borussia Dortmund,SC Freiburg,"Samstag,03.10.202015:30 Uhr"
3,2020-10-01,2020-10-03,Eintracht Frankfurt,TSG Hoffenheim,"Samstag,03.10.202015:30 Uhr"
3,2020-10-01,2020-10-03,1. FC Köln,Borussia Mönchengladbach,"Samstag,03.10.202015:30 Uhr"
3,2020-10-01,2020-10-03,Werder Bremen,Arminia Bielefeld,"Samstag,03.10.202015:30 Uhr"
3,2020-10-01,2020-10-03,VfB Stuttgart,Bayer 04 Leverkusen,"Samstag,03.10.202015:30 Uhr"
3,2020-10-01,2020-10-03,RB Leipzig,FC Schalke 04,"Samstag,03.10.202018:30 Uhr"
3,2020-10-01,2020-10-04,VfL Wolfsburg,FC Augsburg,"Sonntag,04.10.202015:30 Uhr"
3,2020-10-01,2020-10-04,Bayern München,Hertha BSC,"Sonntag,04.10.202018:00 Uhr"
4,2020-10-01,2020-10-17,TSG Hoffenheim,Borussia Dortmund,"Samstag,17.10.202015:30 Uhr"
4,2020-10-01,2020-10-17,SC Freiburg,Werder Bremen,"Samstag,17.10.202015:30 Uhr"
4,2020-10-01,2020-10-17,Hertha BSC,VfB Stuttgart,"Samstag,17.10.202015:30 Uhr"
4,2020-10-01,2020-10-17,1. FSV Mainz 05,Bayer 04 Leverkusen,"Samstag,17.10.202015:30 Uhr"
4,2020-10-01,2020-10-17,FC Augsburg,RB Leipzig,"Samstag,17.10.202015:30 Uhr"
4,2020-10-01,2020-10-17,Arminia Bielefeld,Bayern München,"Samstag,17.10.202018:30 Uhr"
4,2020-10-01,2020-10-17,Borussia Mönchengladbach,VfL Wolfsburg,"Samstag,17.10.202020:30 Uhr"
4,2020-10-01,2020-10-18,1. FC Köln,Eintracht Frankfurt,"Sonntag,18.10.202015:30 Uhr"
4,2020-10-01,2020-10-18,FC Schalke 04,1. FC Union Berlin,"Sonntag,18.10.202018:00 Uhr"
5,2020-10-01,2020-10-23,VfB Stuttgart,1. FC Köln,"Freitag,23.10.202020:30 Uhr"
5,2020-10-01,2020-10-24,Bayern München,Eintracht Frankfurt,"Samstag,24.10.202015:30 Uhr"
5,2020-10-01,2020-10-24,RB Leipzig,Hertha BSC,"Samstag,24.10.202015:30 Uhr"
5,2020-10-01,2020-10-24,1. FC Union Berlin,SC Freiburg,"Samstag,24.10.202015:30 Uhr"
5,2020-10-01,2020-10-24,1. FSV Mainz 05,Borussia Mönchengladbach,"Samstag,24.10.202015:30 Uhr"
5,2020-10-01,2020-10-24,Borussia Dortmund,FC Schalke 04,"Samstag,24.10.202018:30 Uhr"
5,2020-10-01,2020-10-25,VfL Wolfsburg,Arminia Bielefeld,"Sonntag,25.10.202015:30 Uhr"
5,2020-10-01,2020-10-25,Werder Bremen,TSG Hoffenheim,"Sonntag,25.10.202018:00 Uhr"
5,2020-10-01,2020-10-26,Bayer 04 Leverkusen,FC Augsburg,"Montag,26.10.202020:30 Uhr"
6,2020-10-01,2020-10-30,FC Schalke 04,VfB Stuttgart,"Freitag,30.10.202020:30 Uhr"
6,2020-10-01,2020-10-31,Eintracht Frankfurt,Werder Bremen,"Samstag,31.10.202015:30 Uhr"
