matchday,year_month,date,home,away,date_text
1,2022-08-01,2022-08-07,Borussia Dortmund,Bayer 04 Leverkusen,05.08. ~ 07.08.2022
1,2022-08-01,2022-08-07,1. FC Union Berlin,Hertha BSC,05.08. ~ 07.08.2022
1,2022-08-01,2022-08-07,1. FC Köln,FC Schalke 04,05.08. ~ 07.08.2022
1,2022-08-01,2022-08-07,Borussia Mönchengladbach,TSG Hoffenheim,05.08. ~ 07.08.2022
1,2022-08-01,2022-08-07,VfL Wolfsburg,Werder Bremen,05.08. ~ 07.08.2022
1,2022-08-01,2022-08-07,VfL Bochum,1. FSV Mainz 05,05.08. ~ 07.08.2022
1,2022-08-01,2022-08-07,FC Augsburg,SC Freiburg,05.08. ~ 07.08.2022
1,2022-08-01,2022-08-07,VfB Stuttgart,RB Leipzig,05.08. ~ 07.08.2022
1,2022-08-01,2022-08-05,Eintracht Frankfurt,Bayern München,"Freitag,05.08.202220:30 Uhr"
2,2022-08-01,2022-08-14,Bayern München,VfL Wolfsburg,12.08. ~ 14.08.2022
2,2022-08-01,2022-08-14,Bayer 04 Leverkusen,FC Augsburg,12.08. ~ 14.08.2022
2,2022-08-01,2022-08-14,RB Leipzig,1. FC Köln,12.08. ~ 14.08.2022
2,2022-08-01,2022-08-14,SC Freiburg,Borussia Dortmund,12.08. ~ 14.08.2022
2,2022-08-01,2022-08-14,1. FSV Mainz 05,1. FC Union Berlin,12.08. ~ 14.08.2022
2,2022-08-01,2022-08-14,TSG Hoffenheim,VfL Bochum,12.08. ~ 14.08.2022
2,2022-08-01,2022-08-14,Hertha BSC,Eintracht Frankfurt,12.08. ~ 14.08.2022
2,2022-08-01,2022-08-14,FC Schalke 04,Borussia Mönchengladbach,12.08. ~ 14.08.2022
2,2022-08-01,2022-08-14,Werder Bremen,VfB Stuttgart,12.08. ~ 14.08.2022
3,2022-08-01,2022-08-21,Borussia Dortmund,Werder Bremen,19.08. ~ 21.08.2022
3,2022-08-01,2022-08-21,Bayer 04 Leverkusen,TSG Hoffenheim,19.08. ~ 21.08.2022
3,2022-08-01,2022-08-21,1. FC Union Berlin,RB Leipzig,19.08. ~ 21.08.2022
3,2022-08-01,2022-08-21,Borussia Mönchengladbach,Hertha BSC,19.08. ~ 21.08.2022
3,2022-08-01,2022-08-21,Eintracht Frankfurt,1. FC Köln,19.08. ~ 21.08.2022
3,2022-08-01,2022-08-21,VfL Wolfsburg,FC Schalke 04,19.08. ~ 21.08.2022
3,2022-08-01,2022-08-21,VfL Bochum,Bayern München,19.08. ~ 21.08.2022
3,2022-08-01,2022-08-21,FC Augsburg,1. FSV Mainz 05,19.08. ~ 21.08.2022
3,2022-08-01,2022-08-21,VfB Stuttgart,SC Freiburg,19.08. ~ 21.08.2022
4,2022-08-01,2022-08-28,Bayern München,Borussia Mönchengladbach,26.08. ~ 28.08.2022
4,2022-08-01,2022-08-28,RB Leipzig,VfL Wolfsburg,26.08. ~ 28.08.2022
4,2022-08-01,2022-08-28,SC Freiburg,VfL Bochum,26.08. ~ 28.08.2022
4,2022-08-01,2022-08-28,1. FC Köln,VfB Stuttgart,26.08. ~ 28.08.2022
4,2022-08-01,2022-08-28,1. FSV Mainz 05,Bayer 04 Leverkusen,26.08. ~ 28.08.2022
