coach_id	coach_name	coach_from	coach_to
0	kein Trainer	5. Apr. 1908	20. Jun. 1926
1	Otto Nerz	31. Oct. 1926	17. Oct. 1936
2	Sepp Herberger	15. Nov. 1936	7. Jun. 1964
3	Helmut Schön	4. Nov. 1964	21. Jun. 1978
4	Jupp Derwall	11. Oct. 1978	20. Jun. 1984
5	Franz Beckenbauer	12. Sep. 1984	8. Jul. 1990
6	Berti Vogts	29. Aug. 1990	5. Sep. 1998
7	Erich Ribbeck	10. Oct. 1998	20. Jun. 2000
8	Rudi Völler	16. Aug. 2000	23. Jun. 2004
9	Jürgen Klinsmann	18. Aug. 2004	8. Jul. 2006
10	Joachim Löw	16. Aug. 2006	29. Jun. 2021
11	Hansi Flick	2. Sep. 2021	
