match_date;match_time;competition;home_team;away_team;home_goals;away_goals;result_extra
1908-04-05;00:00;Länderspiel;Schweiz;Deutschland;5;3;NA
1908-04-20;00:00;Länderspiel;Deutschland;England;1;5;NA
1908-06-07;18:00;Länderspiel;Österreich;Deutschland;3;2;NA
1909-03-13;00:00;Länderspiel;England;Deutschland;9;0;NA
1909-04-04;00:00;Länderspiel;Deutschland;Schweiz;1;0;NA
1909-04-04;00:00;Länderspiel;Ungarn;Deutschland;3;3;NA
1910-04-03;00:00;Länderspiel;Schweiz;Deutschland;2;3;NA
1910-04-24;00:00;Länderspiel;Niederlande;Deutschland;4;2;NA
1910-05-16;00:00;Länderspiel;Deutschland;Belgien;0;3;NA
1910-10-16;00:00;Länderspiel;Deutschland;Niederlande;1;2;NA
1911-03-26;00:00;Länderspiel;Deutschland;Schweiz;6;2;NA
1911-04-14;00:00;Länderspiel;Deutschland;England;2;2;NA
1911-04-23;00:00;Länderspiel;Belgien;Deutschland;2;1;NA
1911-06-18;00:00;Länderspiel;Schweden;Deutschland;2;4;NA
1911-09-10;00:00;Länderspiel;Deutschland;Österreich;1;2;NA
1911-10-29;00:00;Länderspiel;Deutschland;Schweden;1;3;NA
1911-12-17;00:00;Länderspiel;Deutschland;Ungarn;1;4;NA
1912-03-24;00:00;Länderspiel;Niederlande;Deutschland;5;5;NA
1912-04-14;00:00;Länderspiel;Ungarn;Deutschland;4;4;NA
1912-05-05;00:00;Länderspiel;Schweiz;Deutschland;1;2;NA
1912-06-29;15:00;Olympische Spiele;Österreich;Deutschland;5;1;NA
1912-07-01;17:00;Olympische Spiele;Deutschland;Russland;16;0;NA
1912-07-03;15:00;Olympische Spiele;Ungarn;Deutschland;3;1;NA
1912-10-06;00:00;Länderspiel;Dänemark;Deutschland;3;1;NA
1912-11-17;00:00;Länderspiel;Deutschland;Niederlande;2;3;NA
1913-03-21;00:00;Länderspiel;Deutschland;England;0;3;NA
1913-05-18;00:00;Länderspiel;Deutschland;Schweiz;1;2;NA
1913-10-26;00:00;Länderspiel;Deutschland;Dänemark;1;4;NA
1913-11-23;00:00;Länderspiel;Belgien;Deutschland;6;2;NA
1914-04-05;00:00;Länderspiel;Niederlande;Deutschland;4;4;NA
1920-06-27;00:00;Länderspiel;Schweiz;Deutschland;4;1;NA
1920-09-26;15:30;Länderspiel;Österreich;Deutschland;3;2;NA
1920-10-24;00:00;Länderspiel;Deutschland;Ungarn;1;0;NA
1921-05-05;00:00;Länderspiel;Deutschland;Österreich;3;3;NA
1921-06-05;00:00;Länderspiel;Ungarn;Deutschland;3;0;NA
1921-09-18;00:00;Länderspiel;Finnland;Deutschland;3;3;NA
1922-03-26;00:00;Länderspiel;Deutschland;Schweiz;2;2;NA
1922-04-23;16:30;Länderspiel;Österreich;Deutschland;0;2;NA
1922-07-02;00:00;Länderspiel;Deutschland;Ungarn;0;0;NA
1923-01-01;00:00;Länderspiel;Italien;Deutschland;3;1;NA
1923-05-10;00:00;Länderspiel;Deutschland;Niederlande;0;0;NA
1923-06-03;00:00;Länderspiel;Schweiz;Deutschland;1;2;NA
1923-06-29;00:00;Länderspiel;Schweden;Deutschland;2;1;NA
1923-08-12;00:00;Länderspiel;Deutschland;Finnland;1;2;NA
1923-11-04;00:00;Länderspiel;Deutschland;Norwegen;1;0;NA
1924-01-13;15:00;Länderspiel;Deutschland;Österreich;4;3;NA
1924-04-21;00:00;Länderspiel;Niederlande;Deutschland;0;1;NA
1924-06-15;00:00;Länderspiel;Norwegen;Deutschland;0;2;NA
1924-08-31;00:00;Länderspiel;Deutschland;Schweden;1;4;NA
1924-09-21;00:00;Länderspiel;Ungarn;Deutschland;4;1;NA
1924-11-23;00:00;Länderspiel;Deutschland;Italien;0;1;NA
1924-12-14;00:00;Länderspiel;Deutschland;Schweiz;1;1;NA
1925-03-29;00:00;Länderspiel;Niederlande;Deutschland;2;1;NA
1925-06-21;00:00;Länderspiel;Schweden;Deutschland;1;0;NA
1925-06-26;00:00;Länderspiel;Finnland;Deutschland;3;5;NA
1925-10-25;00:00;Länderspiel;Schweiz;Deutschland;0;4;NA
1926-04-18;00:00;Länderspiel;Deutschland;Niederlande;4;2;NA
1926-06-20;00:00;Länderspiel;Deutschland;Schweden;3;3;NA
1926-10-31;00:00;Länderspiel;Niederlande;Deutschland;2;3;NA
1926-12-12;00:00;Länderspiel;Deutschland;Schweiz;2;3;NA
1927-10-02;00:00;Länderspiel;Dänemark;Deutschland;3;1;NA
1927-10-23;15:15;Länderspiel;Deutschland;Norwegen;6;2;NA
1927-11-20;00:00;Länderspiel;Deutschland;Niederlande;2;2;NA
1928-04-15;00:00;Länderspiel;Schweiz;Deutschland;2;3;NA
1928-05-28;14:00;Olympische Spiele;Schweiz;Deutschland;0;4;NA
1928-06-03;16:00;Olympische Spiele;Uruguay;Deutschland;4;1;NA
1928-09-16;00:00;Länderspiel;Deutschland;Dänemark;2;1;NA
1928-09-23;00:00;Länderspiel;Norwegen;Deutschland;0;2;NA
