season,start_year,position,team,played,won,draw,lost,goals,goals_against,goal_diff,points,points_2pt,points_3pt
1963/1964,1964,1,MSV Duisburg,1,1,0,0,4,1,3,2,2,3
1963/1964,1964,2,SV Werder Bremen,1,1,0,0,3,2,1,2,2,3
1963/1964,1964,3,1. FC Köln,1,1,0,0,2,0,2,2,2,3
1963/1964,1964,4,FC Schalke 04,1,1,0,0,2,0,2,2,2,3
1963/1964,1964,5,Hamburger SV,1,0,1,0,1,1,0,1,1,1
1963/1964,1964,6,SC Preußen Münster,1,0,1,0,1,1,0,1,1,1
1963/1964,1964,7,1. FC Kaiserslautern,1,0,1,0,1,1,0,1,1,1
1963/1964,1964,8,Eintracht Frankfurt,1,0,1,0,1,1,0,1,1,1
1963/1964,1964,9,Hertha BSC,1,0,1,0,1,1,0,1,1,1
1963/1964,1964,10,TSV 1860 München,1,0,1,0,1,1,0,1,1,1
1963/1964,1964,11,1. FC Nürnberg,1,0,1,0,1,1,0,1,1,1
1963/1964,1964,11,Eintracht Braunschweig,1,0,1,0,1,1,0,1,1,1
1963/1964,1964,13,Borussia Dortmund,1,0,0,1,2,3,-1,0,0,0
1963/1964,1964,14,Karlsruher SC,1,0,0,1,1,4,-3,0,0,0
1963/1964,1964,15,VfB Stuttgart,1,0,0,1,0,2,-2,0,0,0
1963/1964,1964,16,1. FC Saarbrücken,1,0,0,1,0,2,-2,0,0,0
1963/1964,1964,1,MSV Duisburg,2,2,0,0,7,2,5,4,4,6
1963/1964,1964,2,FC Schalke 04,2,2,0,0,5,2,3,4,4,6
1963/1964,1964,3,1. FC Köln,2,2,0,0,6,0,6,4,4,6
1963/1964,1964,4,1. FC Nürnberg,2,1,1,0,4,1,3,3,3,4
1963/1964,1964,5,Eintracht Braunschweig,2,1,1,0,2,1,1,3,3,4
1963/1964,1964,6,Hamburger SV,2,1,1,0,5,3,2,3,3,4
1963/1964,1964,7,TSV 1860 München,2,0,2,0,4,4,0,2,2,2
1963/1964,1964,8,VfB Stuttgart,2,1,0,1,2,2,0,2,2,3
1963/1964,1964,9,SV Werder Bremen,2,1,0,1,3,5,-2,2,2,3
1963/1964,1964,10,Borussia Dortmund,2,0,1,1,5,6,-1,1,1,1
1963/1964,1964,11,1. FC Kaiserslautern,2,0,1,1,3,4,-1,1,1,1
1963/1964,1964,12,Eintracht Frankfurt,2,0,1,1,2,4,-2,1,1,1
1963/1964,1964,13,SC Preußen Münster,2,0,1,1,1,2,-1,1,1,1
1963/1964,1964,14,Hertha BSC,2,0,1,1,1,3,-2,1,1,1
1963/1964,1964,15,1. FC Saarbrücken,2,0,0,2,2,6,-4,0,0,0
1963/1964,1964,16,Karlsruher SC,2,0,0,2,1,8,-7,0,0,0
1963/1964,1964,1,1. FC Köln,3,3,0,0,9,1,8,6,6,9
1963/1964,1964,2,FC Schalke 04,3,3,0,0,8,3,5,6,6,9
1963/1964,1964,3,Hamburger SV,3,2,1,0,9,3,6,5,5,7
1963/1964,1964,4,1. FC Nürnberg,3,2,1,0,7,3,4,5,5,7
1963/1964,1964,5,MSV Duisburg,3,2,0,1,9,6,3,4,4,6
1963/1964,1964,6,Eintracht Braunschweig,3,1,2,0,4,3,1,4,4,5
1963/1964,1964,7,SC Preußen Münster,3,1,1,1,5,4,1,3,3,4
1963/1964,1964,8,VfB Stuttgart,3,1,1,1,4,4,0,3,3,4
1963/1964,1964,9,SV Werder Bremen,3,1,1,1,5,7,-2,3,3,4
1963/1964,1964,10,1. FC Kaiserslautern,3,0,2,1,5,6,-1,2,2,2
1963/1964,1964,11,TSV 1860 München,3,0,2,1,5,7,-2,2,2,2
1963/1964,1964,12,Hertha BSC,3,0,2,1,3,5,-2,2,2,2
1963/1964,1964,13,Borussia Dortmund,3,0,1,2,6,9,-3,1,1,1
1963/1964,1964,14,Eintracht Frankfurt,3,0,1,2,4,7,-3,1,1,1
1963/1964,1964,15,1. FC Saarbrücken,3,0,1,2,4,8,-4,1,1,1
1963/1964,1964,16,Karlsruher SC,3,0,0,3,1,12,-11,0,0,0
1963/1964,1964,1,Hamburger SV,4,3,1,0,12,3,9,7,7,10
1963/1964,1964,2,1. FC Köln,4,3,1,0,11,3,8,7,7,10
1963/1964,1964,3,FC Schalke 04,4,3,1,0,10,5,5,7,7,10
1963/1964,1964,4,Eintracht Braunschweig,4,2,2,0,6,3,3,6,6,8
1963/1964,1964,5,1. FC Nürnberg,4,2,2,0,9,5,4,6,6,8
1963/1964,1964,6,1. FC Kaiserslautern,4,1,2,1,8,6,2,4,4,5
1963/1964,1964,7,SC Preußen Münster,4,1,2,1,7,6,1,4,4,5
1963/1964,1964,8,MSV Duisburg,4,2,0,2,10,9,1,4,4,6
1963/1964,1964,9,Hertha BSC,4,1,2,1,6,6,0,4,4,5
1963/1964,1964,10,VfB Stuttgart,4,1,2,1,5,5,0,4,4,5
1963/1964,1964,11,Borussia Dortmund,4,1,1,2,8,10,-2,3,3,4
1963/1964,1964,12,TSV 1860 München,4,0,3,1,6,8,-2,3,3,3
1963/1964,1964,13,SV Werder Bremen,4,1,1,2,5,10,-5,3,3,4
1963/1964,1964,14,1. FC Saarbrücken,4,0,1,3,5,10,-5,1,1,1
