year,name,id
2005,1.FC Kaiserslautern,2
2005,1.FC Köln,3
2005,1.FC Nürnberg,4
2005,1.FSV Mainz 05,39
2005,Arminia Bielefeld,10
2005,Bayer 04 Leverkusen,15
2005,Borussia Dortmund,16
2005,Borussia Mönchengladbach,18
2005,Eintracht Frankfurt,24
2005,FC Bayern München,27
2005,FC Schalke 04,33
2005,Hamburger SV,41
2005,Hannover 96,42
2005,Hertha BSC,44
2005,MSV Duisburg,52
2005,SV Werder Bremen,86
2005,VfB Stuttgart,79
2005,VfL Wolfsburg,82
2006,1.FC Nürnberg,4
2006,1.FSV Mainz 05,39
2006,Alemannia Aachen,8
2006,Arminia Bielefeld,10
2006,Bayer 04 Leverkusen,15
2006,Borussia Dortmund,16
2006,Borussia Mönchengladbach,18
2006,Eintracht Frankfurt,24
2006,FC Bayern München,27
2006,FC Energie Cottbus,25
2006,FC Schalke 04,33
2006,Hamburger SV,41
2006,Hannover 96,42
2006,Hertha BSC,44
2006,SV Werder Bremen,86
2006,VfB Stuttgart,79
2006,VfL Bochum,80
2006,VfL Wolfsburg,82
2007,1.FC Nürnberg,4
2007,Arminia Bielefeld,10
2007,Bayer 04 Leverkusen,15
2007,Borussia Dortmund,16
2007,Eintracht Frankfurt,24
2007,FC Bayern München,27
2007,FC Energie Cottbus,25
2007,FC Hansa Rostock,30
2007,FC Schalke 04,33
2007,Hamburger SV,41
2007,Hannover 96,42
2007,Hertha BSC,44
2007,Karlsruher SC,48
2007,MSV Duisburg,52
2007,SV Werder Bremen,86
2007,VfB Stuttgart,79
2007,VfL Bochum,80
2007,VfL Wolfsburg,82
2008,1.FC Köln,3
2008,Arminia Bielefeld,10
2008,Bayer 04 Leverkusen,15
2008,Borussia Dortmund,16
2008,Borussia Mönchengladbach,18
2008,Eintracht Frankfurt,24
2008,FC Bayern München,27
2008,FC Energie Cottbus,25
2008,FC Schalke 04,33
2008,Hamburger SV,41
2008,Hannover 96,42
2008,Hertha BSC,44
2008,Karlsruher SC,48
2008,SV Werder Bremen,86
2008,TSG 1899 Hoffenheim,533
2008,VfB Stuttgart,79
2008,VfL Bochum,80
2008,VfL Wolfsburg,82
2009,1.FC Köln,3
2009,1.FC Nürnberg,4
2009,1.FSV Mainz 05,39
2009,Bayer 04 Leverkusen,15
2009,Borussia Dortmund,16
2009,Borussia Mönchengladbach,18
2009,Eintracht Frankfurt,24
2009,FC Bayern München,27
2009,FC Schalke 04,33
2009,Hamburger SV,41
2009,Hannover 96,42
2009,Hertha BSC,44
2009,SC Freiburg,60
2009,SV Werder Bremen,86
2009,TSG 1899 Hoffenheim,533
2009,VfB Stuttgart,79
2009,VfL Bochum,80
2009,VfL Wolfsburg,82
2010,1.FC Kaiserslautern,2
2010,1.FC Köln,3
2010,1.FC Nürnberg,4
2010,1.FSV Mainz 05,39
2010,Bayer 04 Leverkusen,15
2010,Borussia Dortmund,16
2010,Borussia Mönchengladbach,18
2010,Eintracht Frankfurt,24
2010,FC Bayern München,27
2010,FC Schalke 04,33
2010,FC St. Pauli,35
2010,Hamburger SV,41
2010,Hannover 96,42
2010,SC Freiburg,60
2010,SV Werder Bremen,86
2010,TSG 1899 Hoffenheim,533
2010,VfB Stuttgart,79
2010,VfL Wolfsburg,82
2011,1.FC Kaiserslautern,2
2011,1.FC Köln,3
2011,1.FC Nürnberg,4
2011,1.FSV Mainz 05,39
